PlayerID,PlayerName,PlayerEmail,PriorityType,RegistrationTime,CheckInStatus,Withdrawn,GroupID,GroupName
PLY000,player1,player1@example.com,Early-bird,2025-05-29 18:15:57,Checked-in,No,GRP000,Playertesters
PLY001,player2,player2@example.com,Early-bird,2025-05-29 18:15:57,Checked-in,No,GRP000,Playertesters
PLY002,player3,player3@example.com,Early-bird,2025-05-29 18:15:58,Checked-in,No,GRP000,Playertesters
PLY003,player4,player4@example.com,Early-bird,2025-05-29 18:15:58,Checked-in,No,GRP000,Playertesters
PLY004,player5,player5@example.com,Early-bird,2025-05-29 18:15:58,Checked-in,No,GRP000,Playertesters
PLY005,alpha1,alpha1@example.com,Early-bird,2025-05-29 18:16:10,Checked-in,No,GRP001,AlphaTeam
PLY006,alpha2,alpha2@example.com,Early-bird,2025-05-29 18:16:10,Checked-in,No,GRP001,AlphaTeam
PLY007,alpha3,alpha3@example.com,Early-bird,2025-05-29 18:16:11,Checked-in,No,GRP001,AlphaTeam
PLY008,alpha4,alpha4@example.com,Early-bird,2025-05-29 18:16:11,Checked-in,No,GRP001,AlphaTeam
PLY009,alpha5,alpha5@example.com,Early-bird,2025-05-29 18:16:12,Checked-in,No,GRP001,AlphaTeam
PLY010,beta1,beta1@example.com,Wildcard,2025-05-29 18:16:20,Checked-in,No,GRP002,BetaSquad
PLY011,beta2,beta2@example.com,Wildcard,2025-05-29 18:16:20,Checked-in,No,GRP002,BetaSquad
PLY012,beta3,beta3@example.com,Wildcard,2025-05-29 18:16:21,Checked-in,No,GRP002,BetaSquad
PLY013,beta4,beta4@example.com,Wildcard,2025-05-29 18:16:21,Checked-in,No,GRP002,BetaSquad
PLY014,beta5,beta5@example.com,Wildcard,2025-05-29 18:16:22,Checked-in,No,GRP002,BetaSquad
PLY015,gamma1,gamma1@example.com,Normal,2025-05-29 18:16:30,Checked-in,No,GRP003,GammaForce
PLY016,gamma2,gamma2@example.com,Normal,2025-05-29 18:16:30,Checked-in,No,GRP003,GammaForce
PLY017,gamma3,gamma3@example.com,Normal,2025-05-29 18:16:31,Checked-in,No,GRP003,GammaForce
PLY018,gamma4,gamma4@example.com,Normal,2025-05-29 18:16:31,Checked-in,No,GRP003,GammaForce
PLY019,gamma5,gamma5@example.com,Normal,2025-05-29 18:16:32,Checked-in,No,GRP003,GammaForce
PLY020,delta1,delta1@example.com,Early-bird,2025-05-29 18:16:40,Checked-in,No,GRP004,DeltaWolves
PLY021,delta2,delta2@example.com,Early-bird,2025-05-29 18:16:40,Checked-in,No,GRP004,DeltaWolves
PLY022,delta3,delta3@example.com,Early-bird,2025-05-29 18:16:41,Checked-in,No,GRP004,DeltaWolves
PLY023,delta4,delta4@example.com,Early-bird,2025-05-29 18:16:41,Checked-in,No,GRP004,DeltaWolves
PLY024,delta5,delta5@example.com,Early-bird,2025-05-29 18:16:42,Checked-in,No,GRP004,DeltaWolves
PLY025,epsilon1,epsilon1@example.com,Wildcard,2025-05-29 18:16:50,Checked-in,No,GRP005,EpsilonElite
PLY026,epsilon2,epsilon2@example.com,Wildcard,2025-05-29 18:16:50,Checked-in,No,GRP005,EpsilonElite
PLY027,epsilon3,epsilon3@example.com,Wildcard,2025-05-29 18:16:51,Checked-in,No,GRP005,EpsilonElite
PLY028,epsilon4,epsilon4@example.com,Wildcard,2025-05-29 18:16:51,Checked-in,No,GRP005,EpsilonElite
PLY029,epsilon5,epsilon5@example.com,Wildcard,2025-05-29 18:16:52,Checked-in,No,GRP005,EpsilonElite
PLY030,zeta1,zeta1@example.com,Normal,2025-05-29 18:17:00,Checked-in,No,GRP006,ZetaZenith
PLY031,zeta2,zeta2@example.com,Normal,2025-05-29 18:17:00,Checked-in,No,GRP006,ZetaZenith
PLY032,zeta3,zeta3@example.com,Normal,2025-05-29 18:17:01,Checked-in,No,GRP006,ZetaZenith
PLY033,zeta4,zeta4@example.com,Normal,2025-05-29 18:17:01,Checked-in,No,GRP006,ZetaZenith
PLY034,zeta5,zeta5@example.com,Normal,2025-05-29 18:17:02,Checked-in,No,GRP006,ZetaZenith
PLY035,omega1,omega1@example.com,Early-bird,2025-05-29 18:17:10,Checked-in,No,GRP007,OmegaOps
PLY036,omega2,omega2@example.com,Early-bird,2025-05-29 18:17:10,Checked-in,No,GRP007,OmegaOps
PLY037,omega3,omega3@example.com,Early-bird,2025-05-29 18:17:11,Checked-in,No,GRP007,OmegaOps
PLY038,omega4,omega4@example.com,Early-bird,2025-05-29 18:17:11,Checked-in,No,GRP007,OmegaOps
PLY039,omega5,omega5@example.com,Early-bird,2025-05-29 18:17:12,Checked-in,No,GRP007,OmegaOps
PLY040,extra1,extra1@example.com,Normal,2025-05-29 18:20:01,Checked-in,No,GRP008,NewGroupA
PLY041,extra2,extra2@example.com,Wildcard,2025-05-29 18:20:02,Checked-in,No,GRP008,NewGroupA
PLY042,extra3,extra3@example.com,Early-bird,2025-05-29 18:20:03,Checked-in,No,GRP008,NewGroupA
PLY043,extra4,extra4@example.com,Normal,2025-05-29 18:20:04,Checked-in,No,GRP008,NewGroupA
PLY044,extra5,extra5@example.com,Wildcard,2025-05-29 18:20:05,Checked-in,No,GRP008,NewGroupA
PLY045,extra6,extra6@example.com,Early-bird,2025-05-29 18:20:06,Checked-in,No,GRP009,NewGroupB
PLY046,extra7,extra7@example.com,Normal,2025-05-29 18:20:07,Checked-in,No,GRP009,NewGroupB
PLY047,extra8,extra8@example.com,Wildcard,2025-05-29 18:20:08,Checked-in,No,GRP009,NewGroupB
PLY048,extra9,extra9@example.com,Early-bird,2025-05-29 18:20:09,Checked-in,No,GRP009,NewGroupB
PLY049,extra10,extra10@example.com,Normal,2025-05-29 18:20:10,Checked-in,No,GRP009,NewGroupB
PLY050,extra11,extra11@example.com,Wildcard,2025-05-29 18:20:11,Checked-in,No,GRP010,NewGroupC
PLY051,extra12,extra12@example.com,Early-bird,2025-05-29 18:20:12,Checked-in,No,GRP010,NewGroupC
PLY052,extra13,extra13@example.com,Normal,2025-05-29 18:20:13,Checked-in,No,GRP010,NewGroupC
PLY053,extra14,extra14@example.com,Wildcard,2025-05-29 18:20:14,Checked-in,Yes,GRP010,NewGroupC
PLY054,extra15,extra15@example.com,Early-bird,2025-05-29 18:20:15,Checked-in,No,GRP010,NewGroupC
